,Tweet,Date,User
0,i really hope i can afford university with my broke azz like pls scholarships come through 😩 https://t.co/wnV8bdRfxT,2022-04-28 12:12:17+00:00,axraelll
1,I'm excited! I just won the #I4GDataCamp scholarship and I’m thrilled to learn data skills and build my data career. Thanks to @Ingressive4Good and @DataCamp https://t.co/gwo2gqtZx5,2022-04-28 12:12:01+00:00,Ada93492730
2,"Thanks @Wallapop for supporting WomenTech Global Conference 2022 and enabling +10000 scholarships 💜

🦄 Check out their career opportunities on our website: https://t.co/F1mlFpeK5y

🎫 Get your ticket here: https://t.co/ayE924sSfO 

#womenintech #WomenTechNet #WTGC2022 https://t.co/KhdbKMrkPL",2022-04-28 12:11:57+00:00,WomenTechNet
3,"Keen to study for a Masters in the UK on a fully-funded scholarship? Now's your chance to find out more! Come to the UK 🇬🇧 pavilion in Hall4 to hear about our flagship @Cheveningfcdo awards.
 
ALSO: Chevening scholar Mthabisi Onias will be speaking TODAY at Scholastica #ZITF2022 https://t.co/gTYjSfhtsk",2022-04-28 12:11:56+00:00,UKinZimbabwe
4,I just won the #I4GDataCamp scholarship and I’m thrilled to learn data skills and build my data career. Thanks to @Ingressive4Good and @DataCamp https://t.co/weFmlFOABA,2022-04-28 12:11:49+00:00,lady_priye
5,@Stepnofficial Hoping for scholarship,2022-04-28 12:11:46+00:00,Nannniiii_
6,I just won the #I4GDataCamp scholarship and I’m thrilled to learn data skills and build my data career. Thanks to @ingressive4Good and @DataCamp,2022-04-28 12:11:30+00:00,dildo_swagginc
7,"@iamlandshark I only give to our scholarship program. I can't go wrong by sending a deserving kid to college for free, can I?",2022-04-28 12:11:29+00:00,SickEconomics
8,"@DanFmTo @WynnEnby @SenSanders He doesn’t qualify for financial aid, because I make to much income.  His sacrifice is to hold a part time job, take minimum 15 hours a semester, and maintain 3.5 gpa or better to get my help.  He has also done countless hours applying for scholarships.",2022-04-28 12:11:25+00:00,RussMach1972
9,Eindhoven University of Technology International PhD Scholarships in Dependence Modelling and Copulas 2022-2023 https://t.co/ioMOvLGol0,2022-04-28 12:11:21+00:00,updatefly
10,"Admissions Open for NIOS.
Enroll Today and Get 30% Scholarship. @ Janakpuri East metro station https://t.co/DxLyZ5Pkqq",2022-04-28 12:11:14+00:00,shri_college
11,"Reminder: For EU applicants to our LLM programmes beginning this September 2022, the application for our ""EU Talent Grant Law"" is May 1st. You need to apply for this scholarship by May 1st to be considered for awarding: https://t.co/zxvHjL2Uic",2022-04-28 12:11:08+00:00,GroningenLaw
12,"GirlCode at its best 🙏 
https://t.co/rwBD1kZzYs",2022-04-28 12:11:07+00:00,i_am_Teeky_Tee
13,"@AidScholarship Hi Monica, thank you for reaching out about the scholarship. We are not running the program for 2022.  Is there a reason you are asking?",2022-04-28 12:11:05+00:00,thefactualnews
14,"I later won a scholarship from @Ingressive4Good and @DataCampDonates  

So far it's been amazing..
It's raining statement of accomplishments and Coursera badges in my mail and I am glad to have started this journey..

#datascience #I4G #blacktecktwitter",2022-04-28 12:11:03+00:00,Rita_tyna
15,"Nominate someone for a @section_four scholarship
https://t.co/E8pMPitCxS",2022-04-28 12:11:00+00:00,profgalloway
16,"Corporate sponsors give scholarships to kids of employees, students in the area the company serves, or those pursuing a degree of interest. https://t.co/D18QP1YSsY",2022-04-28 12:10:45+00:00,RockvillePatch
17,"anyone still interested in axie scholarship? retention of our scholars is getting low. Still believing in SM team and Axie. But presently, this is the truth. 🥲",2022-04-28 12:10:32+00:00,rturiT0
18,"@dux_cripto Ja to participando la, apenas melhor scholarship de todas! #duxnft",2022-04-28 12:10:25+00:00,brunnozxbrunno
19,"Lady Flames Elite • Platinum + Big Bucket Baker = Louisiana Takeover 

We back back 🧑🏾‍💻 

The jig up - it’s a stick up 🔫 hand me all my trophies and all the scholarship money coming with us 🧑🏾‍💻

*evil genius laugh” 😝 https://t.co/DFoRL6sX7J",2022-04-28 12:10:04+00:00,letstalkbb1
20,"While increased accessibility to the internet for women and girls is vital, our efforts cannot stop there. We must promote the education of women in science and technology fields by facilitating scholarships and training opportunities.

#GirlsInICT2022 https://t.co/FcC0hNc0oA",2022-04-28 12:10:01+00:00,WeAreCognito
21,"aayssuuusss galit na galit kayo sa mga Governor niyo na Endorse sina BBM-SARA 😂😂😂 pero pag hihingi nmn ng Scholarship para sa Anak halos lumuhod.

Iba yung buka ng bibig niyo at kilos..nakakahiya..",2022-04-28 12:09:35+00:00,dozZ3h_Vbril
22,"Senior Student-Athletes:

Applications for the Dr. Joseph W. Grosh Scholarship are now available in the athletic office. Stop by the office if you have any questions about the requirements or to pick up a packet. Applications due May 16.",2022-04-28 12:09:22+00:00,WarwickWarriors
23,"""Thirty, $20,000 scholarships will be offered to health professionals. Twenty, $10,000 scholarships will be given to high school students and 10, $10,000 awards will go to Allied Health scholars""

https://t.co/5M6rYo0R0P",2022-04-28 12:09:16+00:00,ThomasOKim
24,@Mommyamygill @redshiftsinger @flotisserie Its unfortunately really hard to prove your rich parents have cut you off for being queer which is the kind of situation that makes it hard to keep your grades high enough to keep your scholarship or get one in the first place. Which means a disproportionate amount of debt.,2022-04-28 12:09:04+00:00,latexass
